pop,seed,checkpoint,reached,n_new,recall,precision,igd,hv_gap,raw_at_checkpoint,cache_hits_at_checkpoint,final_raw,final_cache_hits
100,9,20000,1,20000,0.7906574394463668,0.8622641509433963,0.5773752013748141,0.0001521252856154082,95699,75699,95699,75699
100,10,4696,1,4696,0.328719723183391,0.5792682926829268,2.0921499113393787,0.006206054953587482,7076,2380,88100,68096
100,10,6168,1,6168,0.40484429065743943,0.6464088397790055,1.7205438242382325,0.005558515630431095,9935,3767,88100,68096
100,10,6611,1,6611,0.42560553633217996,0.6577540106951871,1.6370081950285025,0.005350458934760359,10984,4373,88100,68096
100,10,10000,1,10000,0.5363321799307958,0.7328605200945626,1.247204402295741,0.002119704181118183,20820,10820,88100,68096
100,10,15000,1,15000,0.6903114186851211,0.8142857142857143,0.7246082443663334,0.0015422628253221736,43857,28857,88100,68096
100,10,20000,1,20000,0.8217993079584776,0.878003696857671,0.40501977247373994,0.00025874612277810677,88023,68023,88100,68096
100,11,4696,1,4696,0.27854671280276816,0.486404833836858,2.1342817133077965,0.003480016485735957,6735,2039,83500,63500
100,11,6168,1,6168,0.3477508650519031,0.5461956521739131,1.8075579470565775,0.002704663923641024,9812,3644,83500,63500
100,11,6611,1,6611,0.36505190311418684,0.5611702127659575,1.7380183698579583,0.002684197919188327,10857,4246,83500,63500
100,11,10000,1,10000,0.5155709342560554,0.6930232558139535,1.2103289552285394,0.0015898294124486296,20258,10258,83500,63500
100,11,15000,1,15000,0.6608996539792388,0.7876288659793814,0.8307738719496925,0.0005181267989606245,44794,29794,83500,63500
100,11,20000,1,20000,0.7958477508650519,0.8829174664107485,0.5071063695518754,0.00021668859938420203,83488,63488,83500,63500
100,12,4696,1,4696,0.29238754325259514,0.5216049382716049,2.0387236461849296,0.005087436031765945,7068,2372,112400,92391
100,12,6168,1,6168,0.3737024221453287,0.6,1.7653684348590957,0.003972503955446056,10506,4338,112400,92391
100,12,6611,1,6611,0.3892733564013841,0.6097560975609756,1.6914741813650933,0.0025909672431717943,11653,5042,112400,92391
100,12,10000,1,10000,0.5,0.6613272311212814,1.366557893045456,0.002075677658028041,22484,12484,112400,92391
100,12,15000,1,15000,0.6453287197231834,0.7674897119341564,0.9210404933404066,0.001279636625142783,50709,35709,112400,92391
100,12,20000,1,20000,0.7474048442906575,0.8355899419729207,0.6271467090271535,0.0005438845502969596,112304,92304,112400,92391
100,13,4696,1,4696,0.32698961937716264,0.5815384615384616,2.084774894737832,0.006823721483213532,6627,1931,93000,72996
100,13,6168,1,6168,0.3771626297577855,0.6038781163434903,1.8737936745407198,0.004577329002069687,9948,3780,93000,72996
100,13,6611,1,6611,0.40657439446366783,0.6266666666666667,1.7708802884669845,0.003374827978379244,10948,4337,93000,72996
100,13,10000,1,10000,0.5795847750865052,0.7613636363636364,1.1235537864696485,0.001371171307017817,20587,10587,93000,72996
100,13,15000,1,15000,0.7249134948096886,0.8586065573770492,0.7211599550738896,0.0007694804002474302,45347,30347,93000,72996
100,13,20000,1,20000,0.8166089965397924,0.8872180451127819,0.4783239787805025,0.00025726078081209915,92971,72971,93000,72996
100,14,4696,1,4696,0.3079584775086505,0.541033434650456,1.9797884206893246,0.006647798346836973,6846,2150,95800,75792
100,14,6168,1,6168,0.3460207612456747,0.546448087431694,1.7638767149098808,0.004458643552116568,10428,4260,95800,75792
100,14,6611,1,6611,0.370242214532872,0.5863013698630137,1.7338335342825373,0.003599259678853403,11673,5062,95800,75792
100,14,10000,1,10000,0.5051903114186851,0.7104622871046229,1.3897486808910224,0.0026269965153397157,23796,13796,95800,75792
100,14,15000,1,15000,0.6660899653979239,0.8105263157894737,0.8906239475579051,0.00044414977386009847,49416,34416,95800,75792
100,14,20000,1,20000,0.7768166089965398,0.8568702290076335,0.5587032244548498,0.00018996880606046994,95716,75716,95800,75792
100,15,4696,1,4696,0.34256055363321797,0.5673352435530086,1.9742244731723333,0.003820318919493678,7015,2319,95300,75297
100,15,6168,1,6168,0.3788927335640138,0.5918918918918918,1.8360214498454104,0.002605405223290106,10453,4285,95300,75297
100,15,6611,1,6611,0.3875432525951557,0.5863874345549738,1.7481442227552988,0.002556171168477754,11649,5038,95300,75297
100,15,10000,1,10000,0.4930795847750865,0.6769596199524941,1.4105267753691906,0.0017161603501993606,24015,14015,95300,75297
100,15,15000,1,15000,0.6453287197231834,0.7987152034261242,0.9163282536149692,0.0011742953214969535,50984,35984,95300,75297
100,15,20000,1,20000,0.7664359861591695,0.865234375,0.6026996618788658,0.00017978456637229902,95262,75262,95300,75297
100,16,4696,1,4696,0.32698961937716264,0.574468085106383,1.9823092563080134,0.0050174802712995015,6260,1564,87600,67598
100,16,6168,1,6168,0.4031141868512111,0.6263440860215054,1.6207723417884217,0.003508703129424368,9078,2910,87600,67598
100,16,6611,1,6611,0.4186851211072664,0.6302083333333334,1.5531162331294668,0.003455225720420609,10023,3412,87600,67598
100,16,10000,1,10000,0.5640138408304498,0.7375565610859729,1.075124241741369,0.0022547038851085466,19582,9582,87600,67598
100,16,15000,1,15000,0.7024221453287197,0.812,0.7477676263187312,0.0005643785107681604,43148,28148,87600,67598
100,16,20000,1,20000,0.7975778546712803,0.8665413533834586,0.4980943803103082,0.0002558823469876046,87579,67579,87600,67598
100,17,4696,1,4696,0.3235294117647059,0.5095367847411444,1.9531437459535428,0.004200405187274613,6562,1866,102500,82497
100,17,6168,1,6168,0.38235294117647056,0.5785340314136126,1.7244539661825928,0.0035525363014985442,9702,3534,102500,82497
100,17,6611,1,6611,0.39273356401384085,0.5746835443037974,1.6565908516648187,0.0028404512861741845,10715,4104,102500,82497
100,17,10000,1,10000,0.5190311418685121,0.6681514476614699,1.236542932115912,0.0019810561273395973,21525,11525,102500,82497
100,17,15000,1,15000,0.6730103806228374,0.790650406504065,0.8336333890387875,0.0008904358461301715,48001,33001,102500,82497
100,17,20000,1,20000,0.7768166089965398,0.8601532567049809,0.5908468709558353,0.00017923896512621006,102453,82453,102500,82497
100,18,4696,1,4696,0.3719723183391003,0.6398809523809523,1.9931550599748158,0.003913162679061969,6441,1745,92800,72800
100,18,6168,1,6168,0.43079584775086505,0.6657754010695187,1.6981756184462569,0.0033138667336520414,9643,3475,92800,72800
100,18,6611,1,6611,0.44982698961937717,0.6718346253229974,1.5962520177386128,0.0032844969955164558,10727,4116,92800,72800
100,18,10000,1,10000,0.5657439446366782,0.765807962529274,1.2024279152601445,0.002590382798126113,21253,11253,92800,72800
100,18,15000,1,15000,0.698961937716263,0.8211382113821138,0.8452799943840151,0.001142081640262121,44818,29818,92800,72800
100,18,20000,1,20000,0.8148788927335641,0.878731343283582,0.5564445513543295,0.00010067209867132158,92784,72784,92800,72800
100,19,4696,1,4696,0.3304498269896194,0.53954802259887,2.0860734335674818,0.004321441596942126,6907,2211,95300,75290
100,19,6168,1,6168,0.4031141868512111,0.5928753180661578,1.7953589075283123,0.0036098664630266775,10324,4156,95300,75290
100,19,6611,1,6611,0.42387543252595156,0.601965601965602,1.667848709770241,0.0033641015432852965,11423,4812,95300,75290
100,19,10000,1,10000,0.4982698961937716,0.6620689655172414,1.408735217511782,0.0025278903893522216,22742,12742,95300,75290
100,19,15000,1,15000,0.657439446366782,0.7818930041152263,0.8626070752266914,0.00118802741429413,47719,32719,95300,75290
100,19,20000,1,20000,0.7820069204152249,0.8659003831417624,0.5479490032448024,0.0003163103854874095,95225,75225,95300,75290
100,20,4696,1,4696,0.328719723183391,0.5413105413105413,1.9822479327412215,0.004518986419788359,6866,2170,88100,68095
100,20,6168,1,6168,0.38235294117647056,0.6038251366120219,1.7439708103043978,0.0032665187487131747,10176,4008,88100,68095
100,20,6611,1,6611,0.3961937716262976,0.6222826086956522,1.7015094146641225,0.00290027790255936,11460,4849,88100,68095
100,20,10000,1,10000,0.5449826989619377,0.7342657342657343,1.1938542263713168,0.0014405849523518813,21872,11872,88100,68095
100,20,15000,1,15000,0.671280276816609,0.776,0.8205538498739391,0.0011603758544056761,46212,31212,88100,68095
100,20,20000,1,20000,0.7716262975778547,0.8495238095238096,0.5401478943643511,0.000750620205312109,88049,68049,88100,68095
100,21,4696,1,4696,0.3027681660899654,0.550314465408805,2.1937265657334066,0.0053006020352897405,6708,2012,91400,71393
100,21,6168,1,6168,0.3737024221453287,0.6352941176470588,1.8526410943138427,0.003505779358610589,9946,3778,91400,71393
100,21,6611,1,6611,0.38408304498269896,0.6361031518624641,1.7665377616583429,0.003211343041145369,11179,4568,91400,71393
100,21,10000,1,10000,0.49653979238754326,0.7435233160621761,1.4613031779922014,0.0018794221976874428,21838,11838,91400,71393
100,21,15000,1,15000,0.6782006920415224,0.8577680525164114,0.8547536797615668,0.0005489235798602195,45169,30169,91400,71393
100,21,20000,1,20000,0.8044982698961938,0.8823529411764706,0.5055427212748296,0.0002868395576312773,91322,71322,91400,71393
100,22,4696,1,4696,0.2975778546712803,0.5058823529411764,2.1196359791251913,0.004379577885017452,7185,2489,91600,71594
100,22,6168,1,6168,0.370242214532872,0.5572916666666666,1.765814903365039,0.003623654332197277,10761,4593,91600,71594
100,22,6611,1,6611,0.3892733564013841,0.5890052356020943,1.7391279469980414,0.0034843792896269757,11962,5351,91600,71594
100,22,10000,1,10000,0.5086505190311419,0.7,1.306485368253697,0.0020650867578572434,22606,12606,91600,71594
100,22,15000,1,15000,0.6643598615916955,0.803347280334728,0.902629446908997,0.001216846414749567,49254,34254,91600,71594
100,22,20000,1,20000,0.78719723183391,0.8716475095785441,0.5530554197203916,0.00026257237450730704,91532,71532,91600,71594
100,23,4696,1,4696,0.3477508650519031,0.6017964071856288,2.073147562721403,0.002298142533776181,6985,2289,103400,83397
100,23,6168,1,6168,0.38581314878892736,0.6194444444444445,1.8432103437405745,0.0017664209346911503,10559,4391,103400,83397
100,23,6611,1,6611,0.41695501730103807,0.6375661375661376,1.7204913372485118,0.001140054712637561,11720,5109,103400,83397
100,23,10000,1,10000,0.5432525951557093,0.7370892018779343,1.2551114151583036,0.0006849515398035433,22325,12325,103400,83397
100,23,15000,1,15000,0.6660899653979239,0.8122362869198312,0.9064893628133707,0.0003493064259591922,49418,34418,103400,83397
100,23,20000,1,20000,0.7802768166089965,0.8913043478260869,0.6205315051306204,0.000183448375647444,103340,83340,103400,83397
100,24,4696,1,4696,0.3408304498269896,0.6042944785276073,2.028844522959756,0.005005198432165662,7106,2410,97300,77295
100,24,6168,1,6168,0.40657439446366783,0.6300268096514745,1.6174547628605829,0.004090307950345421,10596,4428,97300,77295
100,24,6611,1,6611,0.4204152249134948,0.6394736842105263,1.5886799118739316,0.004076420906292376,11791,5180,97300,77295
100,24,10000,1,10000,0.5346020761245674,0.7038724373576309,1.137247400789218,0.0020288917340235877,23357,13357,97300,77295
100,24,15000,1,15000,0.671280276816609,0.7950819672131147,0.8041234174733805,0.0005961667484807086,55854,40854,97300,77295
100,24,20000,1,20000,0.8183391003460208,0.8958333333333334,0.47096171280463,0.00024540278567107386,97255,77255,97300,77295
100,25,4696,1,4696,0.30103806228373703,0.4887640449438202,1.948907375966534,0.003233483640790333,7036,2340,102100,82100
100,25,6168,1,6168,0.3771626297577855,0.5604113110539846,1.7437296915752971,0.002701037741788153,10417,4249,102100,82100
100,25,6611,1,6611,0.3961937716262976,0.5948051948051948,1.7055400089611743,0.002323121886777991,11490,4879,102100,82100
100,25,10000,1,10000,0.5224913494809689,0.6801801801801802,1.271299946323218,0.0011730783932914254,22582,12582,102100,82100
100,25,15000,1,15000,0.6782006920415224,0.7855711422845691,0.8579356938573313,0.0008220097190006578,52276,37276,102100,82100
100,25,20000,1,20000,0.8062283737024222,0.879245283018868,0.5153221972680001,0.0003482811452813825,102059,82059,102100,82100
100,26,4696,1,4696,0.3217993079584775,0.5552238805970149,2.029967184263897,0.0036500972242478067,6695,1999,92700,72700
100,26,6168,1,6168,0.3806228373702422,0.6145251396648045,1.853149839384155,0.0017338026529909699,9910,3742,92700,72700
100,26,6611,1,6611,0.4013840830449827,0.6287262872628726,1.7522947520396277,0.0017119455403436744,11004,4393,92700,72700
100,26,10000,1,10000,0.5346020761245674,0.7219626168224299,1.3244370011106181,0.0006691620887625826,21545,11545,92700,72700
